,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
265,E02000272,1,0,1140.0,257006.5,urban
266,E02000274,1,0,740.0,280816.7,urban
267,E02000275,0,0,740.0,279908.8,urban
268,E02000276,0,4,1190.0,193012.7,urban
269,E02000277,1,0,760.0,358370.5,urban
270,E02000278,0,0,660.0,375155.2,urban
271,E02000279,1,0,740.0,375509.4,urban
272,E02000280,1,3,850.0,620313.5,urban
273,E02000281,0,0,760.0,364801.2,urban
274,E02000282,1,0,630.0,292677.8,urban
275,E02000283,0,0,770.0,441318.1,urban
276,E02000284,1,2,930.0,399533.7,urban
277,E02000285,0,0,970.0,456155.6,urban
278,E02000286,2,0,920.0,585489.5,urban
279,E02000287,1,1,950.0,1277325.1,urban
280,E02000288,3,0,700.0,420955.6,urban
281,E02000289,1,0,990.0,665239.7,urban
282,E02000290,0,0,630.0,169581.8,urban
283,E02000291,6,5,800.0,363483.4,urban
284,E02000292,1,0,860.0,407891.3,urban
285,E02000293,1,0,1030.0,802065.2,urban
286,E02000294,1,0,720.0,344015.4,urban
287,E02000295,1,0,950.0,561809.5,urban
288,E02000296,3,1,810.0,465265.8,urban
289,E02000297,1,1,980.0,587450.7,urban
290,E02000298,0,0,1130.0,857614.6,urban
291,E02000299,0,0,690.0,259530.0,urban
292,E02000300,0,1,740.0,242844.8,urban
293,E02000301,0,0,620.0,276162.8,urban
294,E02000302,1,0,840.0,419961.4,urban
295,E02000303,0,0,630.0,318156.1,urban
296,E02000304,0,0,1120.0,723044.3,urban
297,E02000305,1,0,940.0,416285.7,urban
298,E02000306,2,1,550.0,130908.3,urban
299,E02000307,0,0,790.0,353870.6,urban
300,E02000308,1,0,830.0,331201.7,urban
301,E02000309,3,0,680.0,264208.1,urban
302,E02000311,0,0,740.0,396913.4,urban
303,E02000312,1,0,880.0,431260.9,urban
304,E02000313,0,0,690.0,85625.7,urban
305,E02000314,3,2,870.0,284597.5,urban
306,E02000315,1,0,710.0,311872.3,urban
307,E02000316,3,1,770.0,94991.2,urban
308,E02000317,0,0,690.0,148949.3,urban
309,E02000318,1,0,740.0,240380.1,urban
310,E02000319,0,0,780.0,188445.4,urban
311,E02000320,0,0,790.0,227793.9,urban
312,E02000321,0,0,660.0,119276.6,urban
313,E02000323,1,0,650.0,210599.9,urban
314,E02000324,0,0,730.0,296610.3,urban
315,E02000326,0,0,960.0,216770.7,urban
316,E02000327,0,0,740.0,132437.5,urban
317,E02000328,0,0,1030.0,344565.0,urban
318,E02000329,0,0,800.0,309734.2,urban
319,E02000331,0,0,770.0,368659.8,urban
320,E02000332,0,0,980.0,430222.5,urban
321,E02000333,1,0,1210.0,479988.2,urban
322,E02000334,0,0,840.0,449406.7,urban
323,E02000335,0,0,920.0,461943.9,urban
324,E02000337,0,0,740.0,516748.3,urban
325,E02000339,4,1,960.0,459678.3,urban
326,E02000340,1,1,830.0,614906.6,urban
327,E02000341,0,0,690.0,496932.4,urban
328,E02000342,0,0,740.0,332450.3,urban
329,E02000343,0,0,790.0,552604.4,urban
330,E02000344,0,0,880.0,578515.2,urban
331,E02000345,1,1,970.0,141149.8,urban
332,E02000346,0,1,550.0,39895.4,urban
333,E02000347,0,0,860.0,184576.5,urban
334,E02000348,1,0,730.0,73571.3,urban
335,E02000350,0,6,910.0,182661.9,urban
336,E02000351,1,2,960.0,162660.2,urban
