,Code,Msoa_name,education_no_qualifications,lone_parent_unemployed,limited_activity_fam_member,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,total_weekly_income,total_private_outdoor_space
135,E02000139,Bromley 013,14.0,36.1,5.189456343,11.06427819,68.52594,7.3,8.6,48.2,128.07402919708028,2,0,1020.0,480342.1
136,E02000140,Bromley 014,32.1,53.8,9.787339883,21.40522876,57.9611,31.6,11.7,72.7,409.07236516853936,1,0,660.0,595753.3
137,E02000141,Bromley 015,16.7,38.1,5.576368876,14.36170213,63.89978,13.4,11.0,44.1,266.62696825396824,2,0,910.0,340449.0
138,E02000142,Bromley 016,14.8,36.9,6.421243211,15.55959964,70.430045,6.4,6.2,52.1,366.7736436170213,2,0,1090.0,818229.0
139,E02000144,Bromley 018,10.5,31.5,4.285220597,11.48587056,71.0825,7.0,9.2,22.9,249.7034297520661,2,8,1150.0,729174.3
140,E02000145,Bromley 019,30.4,55.7,7.989116992,19.41594317,58.697415,31.1,12.4,88.6,272.55585388888886,3,0,690.0,640910.8
141,E02000146,Bromley 020,16.6,19.4,6.979817395,11.88380282,68.084785,6.3,8.5,35.8,493.8979626168224,0,0,910.0,548888.5
142,E02000147,Bromley 021,11.6,26.1,5.094742126,19.52965235,71.26147,4.4,3.4,40.8,386.6315420560748,1,0,1180.0,1362902.2
143,E02000148,Bromley 022,15.2,29.2,5.588458618,14.1509434,70.368805,4.9,3.7,29.6,323.22235519125684,2,0,1090.0,1002068.8
144,E02000149,Bromley 023,25.4,47.5,7.784120394,14.24581006,64.48314,24.6,8.0,64.6,310.1656875,0,0,790.0,695786.5
145,E02000150,Bromley 024,17.4,30.1,6.274697641,15.67291312,68.01921,6.1,3.7,55.2,448.0972608695652,1,1,1000.0,663615.3
146,E02000151,Bromley 025,15.5,25.9,5.149194613,11.02863203,69.803975,3.4,1.7,24.1,512.8417096774193,2,0,1120.0,1104869.5
