,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,RUC11,rural_urban_settings
2352,E02002418,0,0,,695353.0,Urban city and town,urban
2353,E02002419,0,0,,425143.4,Urban major conurbation,urban
2354,E02002420,0,0,,449481.6,Urban major conurbation,urban
2355,E02002421,0,0,,352251.9,Urban major conurbation,urban
2356,E02002422,0,0,,521424.6,Urban major conurbation,urban
2357,E02002423,0,0,,414855.1,Urban major conurbation,urban
2358,E02002424,0,0,,626573.0,Urban major conurbation,urban
2359,E02002425,0,0,,868291.2,Urban major conurbation,urban
2360,E02002426,0,0,,790200.2,Urban major conurbation,urban
2361,E02002427,0,0,,594402.9,Urban major conurbation,urban
2362,E02002428,0,0,,561576.3,Urban major conurbation,urban
2363,E02002429,0,0,,828020.0,Urban major conurbation,urban
2364,E02002430,0,0,,507366.2,Urban major conurbation,urban
2365,E02002431,0,0,,549258.6,Urban major conurbation,urban
2366,E02002432,0,0,,811318.3,Rural town and fringe,rural
2367,E02002433,0,0,,354502.6,Urban major conurbation,urban
2368,E02002434,0,0,,788342.4,Urban major conurbation,urban
2369,E02002435,0,0,,682133.4,Urban major conurbation,urban
2370,E02002436,0,0,,593883.9,Urban major conurbation,urban
2371,E02002437,0,0,,755461.7,Urban major conurbation,urban
2372,E02002438,0,0,,750023.3,Urban city and town,urban
2373,E02002439,0,0,,330103.6,Urban city and town,urban
2374,E02002440,0,0,,855853.4,Urban city and town,urban
2375,E02002441,0,0,,676018.3,Urban city and town,urban
2376,E02002442,0,0,,592536.4,Urban city and town,urban
2377,E02002443,0,0,,579563.3,Urban major conurbation,urban
2378,E02002444,0,0,,634247.6,Urban major conurbation,urban
2379,E02002445,0,0,,772876.3,Urban major conurbation,urban
2380,E02002446,0,0,,586221.0,Urban city and town,urban
2381,E02002447,0,0,,525639.0,Urban city and town,urban
2382,E02002448,0,0,,673559.2,Urban city and town,urban
2383,E02002449,0,0,,831420.2,Urban city and town,urban
2384,E02002450,0,0,,572540.8,Urban city and town,urban
2385,E02002451,0,0,,890385.0,Urban major conurbation,urban
2386,E02002452,0,0,,637768.3,Urban city and town,urban
2387,E02002453,0,0,,823722.6,Urban city and town,urban
2388,E02002454,0,0,,336846.8,Urban major conurbation,urban
2389,E02002455,0,0,,595673.2,Urban city and town,urban
2390,E02002456,0,0,,452462.9,Urban major conurbation,urban
2391,E02002457,0,0,,605204.9,Urban major conurbation,urban
2392,E02002458,0,0,,773441.7,Urban major conurbation,urban
2393,E02002459,0,0,,800155.3,Urban major conurbation,urban
2394,E02002460,0,0,,880585.3,Urban city and town,urban
2395,E02002461,0,0,,1106544.2,Urban city and town,urban
2396,E02002462,0,0,,651518.6,Urban major conurbation,urban
2397,E02002463,0,0,,831416.5,Urban major conurbation,urban
2398,E02002464,0,0,,657150.5,Urban city and town,urban
2399,E02002465,0,0,,570866.5,Urban major conurbation,urban
2400,E02002466,0,0,,869283.9,Urban major conurbation,urban
2401,E02002467,0,0,,455429.2,Urban major conurbation,urban
2402,E02002468,0,0,,612625.2,Urban major conurbation,urban
2403,E02002469,0,0,,708587.8,Rural town and fringe,rural
2404,E02002470,0,0,,1117562.8,Urban major conurbation,urban
2405,E02002471,0,0,,1811510.2,Rural town and fringe,rural
